Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
04-May,LaLiga,34,NA,H,FC Barcelona,Albacete Balompie,Win,CF,90+1,02:00:00,Left-footed shot,Ronaldinho Gaacho
05-Jun,UEFA Champions League,Group Stage,NA,H,FC Barcelona,Panathinaikos Athens,Win,RW,34,03:00:00,Left-footed shot,NA
05-Jun,LaLiga,13,2005-11-27,H,FC Barcelona,Racing Santander,Win,RW,51,02:00:00,Left-footed shot,Samuel Etoo
05-Jun,LaLiga,19,2006-01-15,H,FC Barcelona,Athletic Bilbao,Win,RW,50,02:01:00,Left-footed shot,Mark van Bommel
05-Jun,LaLiga,20,2006-01-22,H,FC Barcelona,Deportivo Alaves,Win,CF,82,02:00:00,Left-footed shot,Ronaldinho Gaacho
05-Jun,LaLiga,21,2006-01-29,A,FC Barcelona,RCD Mallorca,Loss,CF,75,00:02:00,Right-footed shot,Sylvinho
05-Jun,LaLiga,21,2006-01-29,A,FC Barcelona,RCD Mallorca,Loss,CF,83,00:03:00,Left-footed shot,Ronaldinho Gaacho
05-Jun,Copa del Rey,Quarter-Finals,NA,H,FC Barcelona,Real Zaragoza,Win,CF,42,01:00:00,Header,Ludovic Giuly
05-Jun,LaLiga,24,2006-02-18,H,FC Barcelona,Real Betis Balompie,Win,RW,84,05:01:00,Left-footed shot,NA
06-Jul,LaLiga,1,2006-08-28,A,FC Barcelona,Celta de Vigo,Loss,LW,59,01:02:00,Left-footed shot,Andres Iniesta
06-Jul,LaLiga,2,NA,H,FC Barcelona,CA Osasuna,Win,RW,36,03:00:00,Left-footed shot,Samuel Etoo
06-Jul,UEFA Champions League,Group Stage,2006-09-27,A,FC Barcelona,SV Werder Bremen,Loss,RW,89,01:01:00,Left-footed shot,Deco
06-Jul,LaLiga,6,2006-10-15,H,FC Barcelona,Sevilla FC,Win,RW,80,03:01:00,Right-footed shot,Xavi
06-Jul,LaLiga,26,NA,H,FC Barcelona,Real Madrid,Win,RW,11,01:01:00,Left-footed shot,Samuel Etoo
06-Jul,LaLiga,26,NA,H,FC Barcelona,Real Madrid,Win,RW,28,02:02:00,Left-footed shot,NA
06-Jul,LaLiga,26,NA,H,FC Barcelona,Real Madrid,Win,RW,90+1,03:03:00,Left-footed shot,Ronaldinho Gaacho
06-Jul,LaLiga,27,2007-03-17,A,FC Barcelona,Recreativo Huelva,Loss,RW,86,00:04:00,Left-footed shot,NA
06-Jul,LaLiga,28,2007-03-31,H,FC Barcelona,Deportivo de La Coruaa,Win,RW,45,01:00:00,Left-footed shot,Ronaldinho Gaacho
06-Jul,Copa del Rey,Semi-Finals,2007-04-18,H,FC Barcelona,Getafe CF,Win,RW,29,02:00:00,Solo run,Xavi
06-Jul,Copa del Rey,Semi-Finals,2007-04-18,H,FC Barcelona,Getafe CF,Win,RW,45,03:00:00,Left-footed shot,Deco
06-Jul,LaLiga,35,2007-05-20,A,FC Barcelona,Atletico de Madrid,Loss,RW,39,00:01:00,Left-footed shot,Samuel Etoo
06-Jul,LaLiga,35,2007-05-20,A,FC Barcelona,Atletico de Madrid,Loss,RW,80,00:05:00,Left-footed shot,Giovanni van Bronckhorst
